Id,Price
4567,157030.4340700919
5925,110884.44393212534
960,138630.49080863147
3848,128503.49792574282
746,226508.85431202623
868,341250.6238254803
672,125238.64186355798
2471,202732.41002668056
4510,126965.11518487256
8354,259882.0108926766
6393,156952.2803241094
13270,230129.49875184047
5250,348374.56977458316
16751,167022.1640132586
11404,127392.5050659599
10588,314700.05583873583
14925,186646.93382354212
6791,179790.64447896008
16097,175920.08925597928
16428,354571.89106331184
6945,352818.1523019884
3190,188939.4003186411
15709,405776.9179280336
13155,143763.04974454152
7675,198445.21352828064
14686,240970.09667243093
609,158253.00804281954
11155,170692.4063458578
10869,208443.80614493683
15742,196917.38121487986
9245,189549.77964866188
3340,182851.6395554568
2359,284401.29014309373
8070,195381.76106275577
13707,121143.39411157218
16079,284550.82504458976
15937,267106.1175139462
14090,191940.9082177486
9008,206970.058453794
16384,171637.04552544895
11657,258277.43882107644
13151,162806.78264293124
8990,184291.88507857983
11857,187255.76521561464
1565,167764.27575397794
8174,118021.52875057237
9247,245946.2867981676
10478,213143.9730686968
15509,146353.54703878553
8306,256546.2235803869
6642,181441.91406601228
7472,202583.22040408824
15989,130368.35132085418
13682,132976.26051822983
163,299173.83720188757
7076,176753.19608669644
7478,353361.4969600264
3029,185875.9692316989
1814,144962.10065877144
10057,129275.87851173981
15100,189499.75307589475
12694,219446.5655144128
6291,184452.56039580985
12603,190075.08320636585
3218,244529.7864820041
13456,124615.84431128202
10170,233857.06592023105
4530,169015.16288102267
13329,177378.42167441786
4820,146577.7997017986
10896,176160.4505650198
13416,115284.74109099813
2701,228927.03968388174
11265,361403.9912328501
9189,243577.43958067815
1858,180755.30938974803
14536,237096.031119299
6199,255883.75478587495
14730,153203.04443343577
7510,262280.36268903164
15505,160826.1508441662
7446,190369.7124299733
14016,202750.98259317008
14113,112156.14272707234
8721,301307.8866128095
6193,325177.0508712899
5717,174675.7844185602
5427,300894.7825083167
9520,449003.9075313942
6869,107573.26026243322
1658,161864.73149629115
6639,206335.4690159885
6283,189055.9025629799
6257,129338.14310118262
15235,172685.8789710957
902,254737.9198358115
8932,193751.89224015933
16469,385607.29743337614
2825,234446.0525171089
6450,417596.6137691306
11366,183886.32322691992
3801,371894.9509726295
11385,194950.66314239014
1079,193368.77491353216
3202,235392.91071421004
676,224971.22512264524
6185,306017.0067778531
7730,163783.5762549562
2573,180415.83742668564
10978,205418.63310756497
10962,261866.41131115946
8870,177288.16259105434
8496,189563.887069214
5517,168047.0927789992
927,177216.84187088304
13675,193071.2034987673
1499,217123.12567558902
15536,327303.84669940174
8602,369609.4502800341
12137,422665.2492613469
9865,255977.69546187468
16353,287693.89775346115
15908,221140.1926356557
3944,181692.83675111138
10359,201366.67868461425
15158,205980.92725803173
3259,242629.9718052469
7220,320476.2757377725
13843,210686.95905660567
16736,173657.95750908344
702,243348.08966199352
16401,132849.3283090813
12134,189947.8080982228
6918,207206.35124566962
11792,131273.00200551018
3798,169012.47224452774
10395,130709.37115626219
11099,149477.107467531
7090,206676.9411047035
11260,183901.97240418234
9647,220780.51755819883
2903,392344.20276114537
